run_id,model_id,quant,suite,repair,git_ref,verdict_source,task_id,passed,failure_tags,steps,total_tokens,trajectory_success,interface_variant,seed,temperature,rung,instance
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_a,0,wrong_final_answer,1,1119,1,PL_EN,42,0.0,L0e,a
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_b,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,b
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_c,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,c
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_d,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,d
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_e,0,wrong_final_answer,1,1119,1,PL_EN,42,0.0,L0e,e
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_f,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,f
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_g,1,,1,1129,1,PL_EN,42,0.0,L0e,g
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_h,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,h
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_i,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,i
L0e_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0e,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0e_j,0,wrong_final_answer,1,1122,1,PL_EN,42,0.0,L0e,j
